策划案编号,标题,题材,主线,人设,钩子,投流,主线评估结论,人设评估结论,钩子评估结论,投流评估结论
1,,,"故事起因：共同奋斗的男女主是片场群演，男主被一女演员看重出演第一个重要角色，男主喜出望外，带女主共同赴宴后女伯乐改变主意更换了男主，单纯男主深受打击，但不明所以，但聪明的女主看出女伯乐对男主有意思，换掉男主是因为知道了他有自己这么一个女朋友，于是扮演自己搭上当红男演员，抛弃男主；
主角主要目的：男主想弄清楚当年女主离开自己的真相，想要复合。女主想要隐瞒事实；
经历阻碍事件：
1-女伯乐心满意足捧红男主，多年后，男主成为当红小生，与女主在同一片场相见，女主还是一个群演，辛苦卖力养活一个女孩，两人身份悬殊，但必须合作，女主成为男主主演的戏的小配角，后来被男主提拔为女主角。
2.女伯乐道德绑架，利用权力阻止女主上位，但女主才华不容小觑，用实力证明自己，而非因为男主关系上位。
3.男主以为女主的孩子是女主和男二的孩子，却从各种疑点切入，逐渐发现真相；","男主：底层奋斗的影视学院毕业生，群演男演员，单纯艺术家。
女主：底层群演，但情商很高，演技一流
男二：女主的朋友，一个对女主有意思的男演员，但被女主拒绝
女二：当红女演员，男主的伯乐，优越感爆棚，蔫坏，杀人不见血",男主多年后成为当红男星，剧组在寻找和他长相相似小演员演他女儿的时候找到女主女儿，但男主不知道这是女主女儿，更不知道是自己的女儿,"吸睛事件
素材1：女主攀上男明星男二，将男二送的礼物碾压在豪车之下，扬长而去。
素材2：光芒万丈的男主作为明星看到女主在片场做替身，被践踏欺侮而不作为。女二利用角色一次次让女主挨打，后期女主上位后反过来报复女二也是借演戏完成。
素材3：男主的心戏要寻找以为和男主长得像的小女孩演他女儿，结果找到后男主吃惊地发现是前女友的孩子。",通过,通过,通过,通过
2,,,"故事起因：家庭主妇的表妹在一场策划的车祸中，被错当做长相相似的商业帝国女继承人表姐，被误杀。女继承人表姐以死去表妹的身份，替妹妹展开对渣男丈夫和他情妇的报复，却意外发现该情妇就是自己车祸的幕后黑手，姐姐愤怒，誓要为自己和妹妹一同复仇。
主角主要目的：复仇丈夫和女二，收获男主真爱
经历阻碍事件：
1-被丈夫和女二欺负
2-假扮身份差点被发现
3-和男主的退婚误会","男主：姐姐的退婚对象，时尚集团掌舵人（类似于LVHM集团），老钱，机智毒舌
女主：欧洲贵族旁支（贵族身份可保留可删除），恋爱脑，在死去那一刻终于不愿自欺欺人，承认了多年婚姻生活的悲剧。死去后，由正统贵族出身的表姐接替身份，表姐性格刚强，能装会演，手段狠辣，商业集团女继承人。
男二：新钱，纨绔子弟，一直爱慕女主表姐
女二：男二最爱的出轨的对象，一直挑衅欺负死去的妹妹，实际上姐姐车祸幕后黑手，姐姐父亲在外的私生女，得知姐姐死后，一直试图成为下一任企业接班人",女主可以轻松打开表姐的保险库密码，差点被发现身份,"吸睛事件：
素材1：原女主被丈夫和女二欺负，孩子流产
素材2：后女主回归后打脸丈夫和女二
素材3：后女主回归女继承人身份后，再次打脸二人（女二是车祸主要策划人，渣男丈夫也参与策划了车祸）",不通过,通过,不通过,通过
3,,,"故事起因：富二代男二为了向父亲证明自己会理财，买下了一家卫生纸厂并搞了个营销活动 - 第10000个来免费领纸并使用洗手间的人可以获得豪门体验和巨额奖金。而女主因为吃了赌徒丈夫从赌场顺来的劣质食物而肚子痛，恰好成为了第10000位幸运儿，从而获得了改变命运的机会。一个因为吃垃圾食物而肚子痛的可怜女人，却正因为要上厕所而获得了翻身的契机。
主角主要目的：主角在一开始只是渴望得到丈夫的爱和认可，把自我价值完全寄托在讨好丈夫上，但在意外获得财富和机会后，她逐渐认识到了自己的盲目，最终的目标转变为彻底摆脱对丈夫的依附，实现真正的自我价值，她不仅要在物质上翻身，更重要的是要完成从一个盲目依附他人的娇妻到独立自主女性的心理蜕变。
经历阻碍事件：
1-双面生活暴露,老公的朋友在高档场所撞见她,威胁要告诉老公她在扮演富家女
2-第二个危机是她早期的""厕所获奖""视频被人肉搜出来疯传。网友们嘲笑她：""原来是个靠上厕所发家的暴发户""。她没有回避，而是霸气回应：""没错，我就是从马桶开始翻身的。""随后注册了""逆袭马桶""商标，硬生生把危机变成了个人IP。
3-当她第一次以富家女身份出席慈善晚宴准备演讲时，赌徒老公提着她的破旧衣服闯入，大喊""装什么名媛，不就是个陪我捡垃圾的贱货？""全场目睹她从天堂跌入地狱。但她不再是过去那个逆来顺受的女人，她优雅地脱下高跟鞋，砸碎香槟瓶，用玻璃尖对着老公的脖子：""你再骂一句试试？""不仅没有毁了她的名声，反而让她圈粉无数，当场谈成好几个亿的生意。","女主：从娇妻到大女主
女二：一直追寻记者梦
男一：赌徒老公
男二:富二代
男三:男模",女配即将发现女主和自己老公有染,"吸睛事件：
素材1：做空老公的地下赌场股票
在记者会上现场直播他们赌场洗钱证据。第二天股票暴跌，她坐收渔利
素材2：厕所女王""加冕仪式
女主穿着由卫生纸包装制成的前卫礼服，踩着水晶高跟鞋。正当她准备发表收购赌场演讲时，赌徒老公闯入想闹事。她霸气按下按钮，天花板突然落下数万卷卫生纸，把老公淹没。现场数百名富豪起立鼓掌，老公狼狈地从卫生纸堆里爬出。
素材3：撕开记者的白衬衫。
因为前期是娇妻人设，她老公在街上捡垃圾，她也要在旁边陪着。因为长得漂亮被女二新闻记者发现，女二想来采访并且记录爆款标题“美女homeless”，被女主误认为是想接近她的亲亲老公，于是当街双手撕开了女二的白衬衫，还把她的麦克风塞进了她嘴里。",不通过,通过,不通过,通过
4,,,"故事起因：酒庄主男主车祸失忆后醒来，找不到回家的路，正好遇到了在跳骚市场的调酒师女主，女主对酒略知一二就在那招摇撞骗地卖酒，被男主当场揭穿。看到男主傻里傻气，又无家可归，女主收留男主在他手下当帮工，由于男主从小养尊处优，从未给人打工，经常被女主骂。直性格火爆的女主得罪了当地的恶霸，男主为了保护女主头部被打才想起过去的事，男主为了不离开女主，也为了不暴露身份，暗中查出当初让自己出车祸的公司奸细，男主隐瞒身份，最终，奸细被抓，而女主也逐渐通过男主给自己的各种优待和宠溺发现了他的真实身份。
主角主要目的：男主要查出车祸元凶，保护女主。
经历阻碍事件：
1-调酒师女主正在调制一款名为魔咒的酒，但味道总是不对，这个味道最后在男主的帮助下成功研发，并且分销到世界各地。
2-男主隐瞒身份，又要帮助女主脱困
3-女二提前知道了男主真实身份，想要拆散男女主，自己上位","男主：当地著名酒庄主
女主：性格火爆调酒师
男二：男主公司奸细
女二：女主好朋友",可以卡在男主遇到熟人，即将掉马甲,"吸睛事件：
素材1：漂亮调酒师被一帮粗鲁的醉酒工人动手动脚，调戏侮辱
素材2：调酒师关公面前耍大刀，把男主训一顿，但男主的味觉却秒杀女主，两人因酒结缘
素材3：调酒师发现男主身份后被男主反向驯服，暧昧气氛",通过,通过,通过,不通过
5,,,"故事起因：家境贫穷的女主因被吸毒母亲要钱，险些误入歧途去卖卵，幸得医生男主劝阻。两人发生关系，女主问男主要钱。两人多次在外巧遇后，男主发现女主并不是他想象中的拜金女，而是被吸毒的母亲家暴所逼迫。男主逐渐从对女主的肉体上瘾转变为关注女主的内心世界，最终为女主抵御原生家庭带来的家暴问题，治愈了女主的应激创伤，和女主建立甜蜜的新家。
主角主要目的：赚钱，逃脱吸毒家暴吸血原生家庭，收获男主真爱
经历阻碍事件：
1-和男主的性关系转正
2-原生家庭带来的家暴问题和留下的应激创伤
3-女配的陷害","男主：Specialist（妇科专科医生），实际上是黑手党未来继承人，对外生人勿近，对女主则是大灰狼
女主：家境贫穷的女大学生，制药学，前期小白兔，后期从男主那里学会内心大灰狼
男二：女主实习医药公司老板，女主的前男友
女二：医院院长千金，爱慕男主，陷害女主",女主在酒吧当销售，被男主外甥骚扰，男主霸气相救，放话女主只属于他一个人,"吸睛事件：
素材1：女主在酒吧被男主外甥骚扰，男主相救，拿酒瓶砸外甥头，并将女主拉到走廊，占有欲作祟，向女主放话，她只属于自己
素材2：女主遭受到吸毒母亲的家暴，男主霸气相救，成为多年来第一个站在女主身后为她遮风挡雨的人，女主和妈妈割席
素材3：女配陷害女主，在女主给新药主讲人的咖啡里加了花生碎，导致主讲人过敏送医无法上台演讲，此项目是男主父亲投资的，男主父亲震怒。女主凭借自己专业知识对主讲人手稿的理解，上台演讲，打脸女配。",通过,通过,通过,通过
6,,,"故事起因：女主和女配们是播音员，女配们嫉妒女主的才华，职场霸凌女主，不仅殴打女主，还让女主的声带受损，断送职业生涯。因为女配家族势大，女主人微言轻，求助无门，只能远走他乡，忍辱负重七年，学习了无数技能，精进自己的能力，以女配节目的导演身份回归，对女配们展开报复。
主角主要目的：利用所有可利用资源来复仇
经历阻碍事件：
1-女主游离在两个男主之间，原以为天衣无缝却掉马，双男主见面，一个是女配的丈夫，一个是女配的亲弟弟（女主前男友）
2-女主的帮手被发现，被女配死亡威胁，当着女主的面死了，女主崩溃
3-复仇联盟的人不愿听从女主的话，独自行动","男主：女主的前男友，女配的弟弟（非亲生养子），宠姐，不相信女配会伤害女主，但又喜欢女主，得知真相后，变成正义使者，选择帮助女主
女主：前期播音员，被霸凌到声带受损，断送职业生涯，经过七年的地狱磨炼，以导演的身份回归，利用一切可利用的资源报复伤害自己的人，有谋略，进退自如
男二：女配商业联姻的丈夫，前期被女主的才华吸引
女二：女主的复仇对象，仗着家世无法无天，在女主回归后虽然害怕，但依旧用尽手段试图给女主造成伤害",女主在勾引女配丈夫时即将掉马,"吸睛事件：
素材1：女主在女配直播时，直接插播女配霸凌画面
素材2：女主的复仇联盟的帮手，收到死亡威胁，女主赶到时，对方直接死在女主怀里
素材3：女主霸气反击，暴打凶手，带着凶手找到女配家",通过,不通过,不通过,通过
7,,,"故事主线：律师精英女主Sarah被男主mike的后妈威胁逃去了巴黎，五年后带着女儿Lily回归，面对三位可能是女儿生父的男人 （男主豪门继承人Mike、男二律所合伙人David和男三音乐人Tommy） 争着做女儿的爸爸，女主最后会选择谁？
主角主要目的：
女主：Sarah想保护女儿Lily自由成长，同时寻求对Mike父亲的正义追责。
所有男主：和好 当爹
阻碍事件：
酒吧偶遇三人，Sarah为掩护身份演戏逃脱
幼儿园画展曝光真相，三个男人剑拔弩张
Lily被Mike后妈绑架，三人放下成见共同营救","女主：Sarah Chen (35岁)，哈佛法学院毕业的精英律师，完美主义者却在感情上经历波折。为保护女儿，隐瞒生父身份五年。
男一：Mike Wilson (42岁)，商界新贵，活在后妈阴影下，与Sarah相爱却未能保护她。五年后为弥补过错勇于对抗父亲。
男二：David Stone (45岁)，律所高管，工作狂，暗恋Sarah多年。因前妻大闹导致Sarah被开除深感愧疚，一直暗中调查真相。
男三：Tommy Parker (26岁)，音乐系学生兼职保姆，纯真浪漫。为追求音乐梦想去巴黎，与Sarah有过最后一夜。",sarah约男二来讨论案件，一到餐厅发现男三和男一都在里面。转身想逃但撞到了刚到的男二，三道目光齐齐的向她看去，他们能否发现自己竟都是同一个孩子的父亲？,"吸睛事件：
素材1：律所早高峰，Jessica冲进来泼Sarah咖啡，两人扭打在地。实习生录像，Jessica撕扯Sarah头发抓花她脸，保安被高跟鞋击中。David想冲出来被拦住，Sarah湿透着逃离。
和后妈对峙：
素材2：Mike踹开门。后妈拔枪，枪滑落地上。Mike掐住她脖子怒吼。警方破门而入。
办公室做爱：
素材3：和david讨论离婚案件后两个人都很受伤",不通过,通过,不通过,不通过
8,,,"故事起因：
一场车祸带走了女主的父母，让年幼的妹妹变成植物人，女主为了救妹妹，答应伯父伯母代替死了的堂妹嫁给渣男联姻。订婚夜，女主被伯母下了药，渣男出轨没回来，女主和男主发生关系，之后被男主盯上……女主害怕被渣男发现出轨，联姻失败导致妹妹不能得到治疗，另一边又跟男主斡旋……最终和男主走到一起，惩治了渣男和伯父伯母。
主角主要目的：为了救妹妹，和伯父伯母渣男周旋
经历阻碍事件：
1-女主在家挨打，替嫁死亡的堂姐，被伯母下药
2-男主和女主拉扯，男主告诉男二自己跟女主睡过，要男二跟女主接触婚约，女主害怕
3-女主对男主感情升温时，男主发现女主身份是假的生气","男主：渣男的小叔，爹不疼娘不爱，靠自己成长起来的家族掌权人，喜欢跟所有人对着干，表面对女主不好，实际上深爱女主，想把女主囚禁在身边。
女主：替嫁的假冒千金，性格隐忍，善于伪装，为了救妹妹，什么都愿意做，等待时机报复伤害自己的人
男二：女主的渣男未婚夫，男主的侄子，花花公子，表面对男主尊敬，实际上不服男主，对女主没有感情
女二：喜欢男主，想跟男主联姻，但屡次碰壁，想把女主搞走，暗中搞事",男主告诉男二，女主勾引自己，要男二跟女主取消联姻，女主感觉自己和妹妹要完了（任务失败，伯母不会救妹妹）,"吸睛事件：
素材1：男主遇险，女主犹豫到底要不要救男主，最后决定用自己的命，换男主一个人情救妹妹，被杀手捅刀
素材2：女主昏迷期间，医院来电话，男主发现女主身份有问题
素材3：女主醒来后，想去找妹妹，男主杀回马枪，阻止女主",不通过,通过,不通过,通过
9,,,"故事起因：
女主和男主做了三年地下情人，女主亲耳听见男主跟好友说和女主只是玩玩，想跟别人联姻。女主心碎离开，转身答应男二联姻。两年后，女主和男二恩爱的新闻遍地都是，男主吃醋，想要挽回女主，甘心做小三。背地里一直在找男二出轨证据，期间女主对男二百般维护，让男主醋意更重。加上女配的挑拨，找事，两人误会重重，最终解开误会。
主角主要目的：男主想复合，追妻火葬场，女主不相信男主，两人情感拉扯
经历阻碍事件：
1-男主和女主偷情，差点被发现
2-男主在酒店苦等女主，看到女主和男配一起从酒店出来，误会两人睡了
3-男主为了让女主离开男配，发现男主是GAY，故意放出消息，打压男配，被女主发现，女主误会","男主：霸总，前期好面子，渣男，后期为爱做三，偷偷观察女主和男二容易吃醋
女主：清醒，强大，是小公司的女总裁，对朋友很仗义，为了维护男二和女三的地下情，被误会也都没有将假结婚的事说出去，通过合约婚姻，让公司蒸蒸日上。
男二：GAY，女主的契约丈夫兼好友，对女主很好，很仗义，为了维护女主可以跟男主针锋相对，在外面有男朋友，因为家族原因，怕丢掉职务，不能公开，找女主假结婚。
女二：男主的爱慕者，多次给女主和男主造成误会",男女主偷情，差点被发现,"吸睛事件：
素材1：男女主偷情
素材2：女主想去见男主，被男二带走，在酒店偶遇了进入男主房间的女三
素材3：男主苦等女主一晚上，得知女主来过酒店，在酒店房间门口，看到忙碌一晚上的女主和男二，误会",不通过,通过,不通过,不通过
10,,,"故事起因：
肥胖女主刚替丈夫拿下一个大合作，去公司找丈夫，发现丈夫出轨，生气吵闹间，女主要离婚，要撕毁合同，被丈夫“杀死”，丈夫和闺蜜一起将女主埋尸。深夜，女主从土里爬出来，遇到首富亲爹，被带走。女主疯狂减肥，整容，用新身份出现，和深爱女主的男主一起报复渣男和闺蜜。
主角主要目的：改头换面后，报复渣男和闺蜜；和男主相认并在一起
经历阻碍事件：
1-女主被渣男“害死”，活埋
2-男女主商业联姻，对对方毫无兴趣，恶语相向
3-男主得知女主是自己寻找多年的女孩后，以为女主喜欢渣男","男主：霸总，女主的联姻对象。一直在寻找女主，前期不知道女主就是自己要找的人，和女主势同水火，后来发现的人格魅力，渐渐爱上女主，对女主忠诚
女主：商业奇才，谈判能手，帮渣男拿下非常多大项目，助力渣男事业，前期因为药物原因发胖；回家后减肥整容，用自己的计谋让渣男和闺蜜心生怨怼，事业家庭双双破败
男二：女主的渣男前夫，贪财好色
女二：女主一起在福利院长大的闺蜜，绿茶拜金",女主盛装打扮，出现在男配和女配的婚礼上,"吸睛事件：
素材1：渣男和闺蜜当着女主的面亲热，将女主活埋
素材2：女主减肥整容
素材3：女主减肥整容后，闪亮出席渣男和闺蜜的婚礼",通过,通过,通过,通过
